  1 |   1                2 2.397e-06 |
  2 |   2                3 5.630e-07 |
  3 |   3                5 5.790e-07 |
  4 |   3                7 6.460e-07 |
  5 |   4                9 7.370e-07 |
  6 |   4               12 8.730e-07 |
  7 |   5               15 9.280e-07 |
  8 |   5               18 1.008e-06 |
  9 |   5               21 1.154e-06 |
 10 |   6               25 1.244e-06 |
 11 |   6               29 3.295e-06 |
 12 |   6               33 1.473e-06 |
 13 |   7               37 1.469e-06 |
 14 |   7               41 1.455e-06 |
 15 |   7               46 1.568e-06 |
 16 |   7               51 1.587e-06 |
 17 |   8               56 1.668e-06 |
 18 |   8               61 1.690e-06 |
 19 |   8               66 1.720e-06 |
 20 |   8               71 1.864e-06 |
 21 |   9               76 3.758e-06 |
 22 |   9               81 2.711e-06 |
 23 |   9               85 2.392e-06 |
 24 |   9               89 2.408e-06 |
 25 |   9               92 2.462e-06 |
 26 |  10               95 2.573e-06 |
 27 |  10               98 2.591e-06 |
 28 |  10              101 2.493e-06 |
 29 |  10              104 2.381e-06 |
 30 |  10              107 2.424e-06 |
 31 |  11              110 2.504e-06 |
 32 |  11              113 4.938e-06 |
 33 |  11              116 4.267e-06 |
 34 |  12              119 3.293e-06 |
 35 |  12              122 4.140e-06 |
 36 |  12              125 3.894e-06 |
 37 |  13              128 4.209e-06 |
 38 |  13              131 4.415e-06 |
 39 |  13              134 3.690e-06 |
 40 |  14              137 3.854e-06 |
 41 |  14              140 3.851e-06 |
 42 |  14              144 4.144e-06 |
 43 |  15              148 4.281e-06 |
 44 |  15              152 4.652e-06 |
 45 |  15              156 3.622e-06 |
 46 |  16              159 4.723e-06 |
 47 |  16              162 4.459e-06 |
 48 |  16              165 4.287e-06 |
 49 |  16              168 4.366e-06 |
 50 |  17              171 4.359e-06 |
 55 |  19              182 6.692e-06 |
 60 |  21              194 4.938e-06 |
 65 |  23              209 4.661e-06 |
 70 |  25              229 4.815e-06 |
 75 |  26              254 5.158e-06 |
 80 |  27              283 5.752e-06 |
 85 |  28              313 6.445e-06 |
 90 |  30              325 7.228e-06 |
 95 |  32              335 6.872e-06 |
100 |  35              345 6.351e-06 |
110 |  39              372 1.262e-05 |
120 |  42              418 9.807e-06 |
130 |  44              468 1.118e-04 |
140 |  46              523 1.669e-05 |
150 |  48              568 1.116e-04 |
160 |  52              590 1.435e-05 |
170 |  57              613 1.318e-05 |
180 |  60              656 1.370e-05 |
190 |  62              714 1.456e-05 |
200 |  64              767 1.558e-05 |
220 |  70              818 2.262e-05 |
240 |  77              896 1.999e-05 |
260 |  81              992 1.268e-04 |
280 |  88             1048 4.020e-05 |
300 |  96             1108 4.141e-05 |
320 | 101             1195 4.352e-05 |
340 | 111             1243 3.144e-05 |
360 | 115             1334 2.836e-05 |
380 | 120             1437 2.935e-05 |
400 | 128             1480 2.893e-05 |
420 | 134             1573 2.730e-04 |
440 | 139             1640 1.755e-04 |
460 | 147             1691 8.544e-05 |
480 | 152             1789 7.100e-05 |
500 | 159             1848 4.694e-05 |
520 | 166             1910 7.546e-05 |
540 | 171             2026 2.727e-04 |
560 | 178             2081 6.199e-05 |
580 | 185             2153 4.644e-05 |
600 | 189             2265 1.829e-04 |
620 | 195             2329 4.945e-05 |
640 | 203             2400 4.930e-05 |
660 | 208             2484 5.048e-05 |
680 | 214             2555 5.023e-05 |
700 | 222             2615 5.250e-05 |
720 | 227             2706 5.239e-05 |
740 | 236             2754 7.189e-05 |
760 | 241             2853 5.511e-05 |
780 | 244             2958 5.738e-05 |
800 | 253             3001 5.792e-05
