1 |   1                2 8.278e-06 |
  2 |   2                3 1.209e-06 |
  3 |   3                5 1.324e-06 |
  4 |   3                7 1.451e-06 |
  5 |   4                9 1.574e-06 |
  6 |   4               12 1.746e-06 |
  7 |   5               15 1.849e-06 |
  8 |   5               18 2.039e-06 |
  9 |   5               21 2.383e-06 |
 10 |   6               25 2.471e-06 |
 11 |   6               29 2.378e-06 |
 12 |   6               33 1.434e-06 |
 13 |   7               37 1.432e-06 |
 14 |   7               41 1.891e-06 |
 15 |   7               46 1.895e-06 |
 16 |   7               51 1.638e-06 |
 17 |   8               56 1.723e-06 |
 18 |   8               61 1.730e-05 |
 19 |   8               66 1.886e-06 |
 20 |   8               71 2.030e-06 |
 21 |   9               75 4.174e-06 |
 22 |   9               79 3.024e-06 |
 23 |   9               83 2.291e-06 |
 24 |   9               87 2.278e-06 |
 25 |   9               90 2.222e-06 |
 26 |  10               93 2.235e-06 |
 27 |  10               96 2.418e-06 |
 28 |  10               99 2.270e-06 |
 29 |  10              102 2.303e-06 |
 30 |  10              105 2.245e-06 |
 31 |  11              108 2.216e-06 |
 32 |  11              111 2.339e-06 |
 33 |  11              115 2.391e-06 |
 34 |  12              119 2.429e-06 |
 35 |  12              123 2.443e-06 |
 36 |  12              126 2.471e-06 |
 37 |  13              129 2.504e-06 |
 38 |  13              132 2.606e-06 |
 39 |  13              135 2.669e-06 |
 40 |  13              138 2.636e-06 |
 41 |  14              142 2.678e-06 |
 42 |  14              145 2.811e-06 |
 43 |  14              148 2.800e-06 |
 44 |  15              151 2.850e-06 |
 45 |  15              154 2.861e-06 |
 46 |  15              157 2.977e-06 |
 47 |  15              160 2.920e-06 |
 48 |  16              163 3.064e-06 |
 49 |  16              166 3.076e-06 |
 50 |  16              169 3.048e-06 |
 55 |  18              182 7.761e-06 |
 60 |  20              192 7.049e-06 |
 65 |  22              206 7.063e-06 |
 70 |  24              226 7.857e-06 |
 75 |  25              251 8.505e-06 |
 80 |  26              280 9.468e-06 |
 85 |  27              306 1.032e-05 |
 90 |  28              319 1.167e-05 |
 95 |  30              329 1.219e-05 |
100 |  33              339 1.030e-05 |
110 |  37              367 1.176e-05 |
120 |  40              413 9.747e-06 |
130 |  42              463 9.818e-06 |
140 |  44              518 9.840e-06 |
150 |  46              567 1.123e-05 |
160 |  50              587 1.139e-05 |
170 |  55              609 1.191e-04 |
180 |  58              650 1.441e-05 |
190 |  60              707 1.364e-05 |
200 |  62              757 1.456e-05 |
220 |  69              807 2.215e-05 |
240 |  76              875 1.882e-05 |
260 |  80              971 1.962e-05 |
280 |  87             1029 5.293e-05 |
300 |  95             1090 2.317e-05 |
320 |  99             1185 2.424e-05 |
340 | 108             1237 2.419e-05 |
360 | 113             1330 2.590e-05 |
380 | 117             1434 2.825e-05 |
400 | 126             1477 2.791e-05 |
420 | 131             1574 5.596e-05 |
440 | 136             1645 3.594e-05 |
460 | 143             1697 3.946e-05 |
480 | 149             1792 3.681e-05 |
500 | 155             1852 3.766e-05 |
520 | 163             1912 3.860e-05 |
540 | 167             2026 3.947e-05 |
560 | 174             2083 4.160e-05 |
580 | 181             2155 4.307e-05 |
600 | 185             2263 4.638e-05 |
620 | 192             2319 4.595e-05 |
640 | 200             2388 4.682e-05 |
660 | 205             2475 4.839e-05 |
680 | 211             2533 6.603e-05 |
700 | 220             2590 6.471e-05 |
720 | 225             2679 4.989e-05 |
740 | 234             2728 5.018e-05 |
760 | 239             2827 5.218e-05 |
780 | 243             2920 5.377e-05 |
800 | 253             2963 5.469e-05
